Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
265,nom,224,96,0,0,,,,17.77,2.447,-112.5,,190.7e-3,228.8e-3,59.86e-3,26.16
266,nom,224,96,0,1,,,,17.15,2.278,-158,,188.8e-3,226.5e-3,51.91e-3,22.92
267,nom,224,96,1,0,,,,17.2,2.29,22.7,,191.5e-3,229.8e-3,52.42e-3,22.81
268,nom,224,96,1,1,,,,17.85,2.47,67.88,,194.3e-3,233.1e-3,60.99e-3,26.16
301,nom,255,96,0,0,,,,18.74,2.734,-114.1,,215.9e-3,259.1e-3,74.73e-3,28.84
302,nom,255,96,0,1,,,,18.04,2.525,-154.3,,213.7e-3,256.5e-3,63.75e-3,24.86
303,nom,255,96,1,0,,,,18.1,2.541,26.36,,217.4e-3,260.9e-3,64.58e-3,24.76
304,nom,255,96,1,1,,,,18.82,2.76,66.21,,220.5e-3,264.6e-3,76.19e-3,28.79
17,nom,0,128,0,0,,,,12.14,1.279,-47.68,,74.88e-3,89.86e-3,16.37e-3,18.22
18,nom,0,128,0,1,,,,12.22,1.291,132.3,,75.71e-3,90.85e-3,16.67e-3,18.34
19,nom,0,128,1,0,,,,12.14,1.279,-47.68,,74.88e-3,89.86e-3,16.37e-3,18.22
20,nom,0,128,1,1,,,,12.22,1.291,132.3,,75.72e-3,90.86e-3,16.67e-3,18.34
53,nom,32,128,0,0,,,,12.16,1.282,-61.62,,90.26e-3,108.3e-3,16.43e-3,15.16
54,nom,32,128,0,1,,,,12.6,1.349,145.6,,91.54e-3,109.8e-3,18.2e-3,16.57
55,nom,32,128,1,0,,,,12.52,1.337,-34.17,,90.76e-3,108.9e-3,17.87e-3,16.41
56,nom,32,128,1,1,,,,12.24,1.295,118.5,,91.09e-3,109.3e-3,16.76e-3,15.33
89,nom,64,128,0,0,,,,12.76,1.374,-74.56,,106.4e-3,127.7e-3,18.88e-3,14.79
90,nom,64,128,0,1,,,,13.26,1.455,157.5,,107.7e-3,129.3e-3,21.16e-3,16.37
91,nom,64,128,1,0,,,,13.19,1.443,-21.99,,107.2e-3,128.6e-3,20.84e-3,16.2
92,nom,64,128,1,1,,,,12.85,1.389,105.6,,107.4e-3,128.9e-3,19.28e-3,14.96
125,nom,96,128,0,0,,,,13.75,1.54,-85.09,,123.7e-3,148.4e-3,23.73e-3,15.99
126,nom,96,128,0,1,,,,14.08,1.6,167.9,,124.7e-3,149.7e-3,25.61e-3,17.11
127,nom,96,128,1,0,,,,14.03,1.591,-11.5,,124.5e-3,149.5e-3,25.31e-3,16.93
128,nom,96,128,1,1,,,,13.84,1.556,95.18,,125e-3,149.9e-3,24.22e-3,16.15
161,nom,128,128,0,0,,,,14.9,1.758,-93,,142.4e-3,170.8e-3,30.92e-3,18.1
162,nom,128,128,0,1,,,,14.99,1.776,176.6,,142.9e-3,171.5e-3,31.54e-3,18.39
163,nom,128,128,1,0,,,,14.95,1.769,-2.695,,143.2e-3,171.9e-3,31.28e-3,18.2
164,nom,128,128,1,1,,,,14.99,1.776,87.32,,144.1e-3,172.9e-3,31.54e-3,18.24
