Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
243,nom,121,0,,,,11.69,1.215,36.85,,72.21e-3,86.65e-3,14.77e-3,17.05
245,nom,122,0,,,,11.76,1.225,36.89,,72.81e-3,87.37e-3,15.01e-3,17.18
247,nom,123,0,,,,11.84,1.235,36.93,,73.42e-3,88.1e-3,15.26e-3,17.32
249,nom,124,0,,,,11.91,1.245,36.98,,74.03e-3,88.83e-3,15.51e-3,17.46
251,nom,125,0,,,,11.97,1.255,37.03,,74.64e-3,89.57e-3,15.76e-3,17.59
253,nom,126,0,,,,12.04,1.265,37.07,,75.26e-3,90.31e-3,16.01e-3,17.73
255,nom,127,0,,,,12.11,1.275,37.12,,75.87e-3,91.04e-3,16.26e-3,17.86
257,nom,128,0,,,,12.18,1.285,37.16,,76.48e-3,91.78e-3,16.52e-3,18
259,nom,129,0,,,,12.25,1.295,37.2,,77.1e-3,92.52e-3,16.78e-3,18.14
261,nom,130,0,,,,12.31,1.305,37.25,,77.71e-3,93.25e-3,17.04e-3,18.27
263,nom,131,0,,,,12.38,1.315,37.3,,78.33e-3,94e-3,17.3e-3,18.4
265,nom,132,0,,,,12.45,1.325,37.34,,78.95e-3,94.74e-3,17.56e-3,18.54
267,nom,133,0,,,,12.51,1.335,37.38,,79.57e-3,95.49e-3,17.83e-3,18.67
269,nom,134,0,,,,12.58,1.345,37.42,,80.2e-3,96.24e-3,18.1e-3,18.8
271,nom,135,0,,,,12.64,1.355,37.46,,80.83e-3,96.99e-3,18.37e-3,18.94
273,nom,136,0,,,,12.7,1.365,37.51,,81.45e-3,97.75e-3,18.64e-3,19.07
275,nom,137,0,,,,12.77,1.375,37.55,,82.08e-3,98.5e-3,18.91e-3,19.2
277,nom,138,0,,,,12.83,1.385,37.6,,82.72e-3,99.26e-3,19.19e-3,19.33
279,nom,139,0,,,,12.89,1.395,37.64,,83.35e-3,100e-3,19.46e-3,19.46
281,nom,140,0,,,,12.95,1.405,37.68,,83.98e-3,100.8e-3,19.74e-3,19.59
283,nom,141,0,,,,13.02,1.415,37.72,,84.62e-3,101.5e-3,20.02e-3,19.72
285,nom,142,0,,,,13.08,1.425,37.76,,85.26e-3,102.3e-3,20.31e-3,19.85
287,nom,143,0,,,,13.14,1.435,37.8,,85.9e-3,103.1e-3,20.59e-3,19.98
289,nom,144,0,,,,13.2,1.445,37.84,,86.55e-3,103.9e-3,20.88e-3,20.1
291,nom,145,0,,,,13.26,1.455,37.89,,87.19e-3,104.6e-3,21.17e-3,20.23
293,nom,146,0,,,,13.32,1.465,37.93,,87.84e-3,105.4e-3,21.46e-3,20.36
295,nom,147,0,,,,13.37,1.475,37.98,,88.48e-3,106.2e-3,21.75e-3,20.48
297,nom,148,0,,,,13.43,1.485,38.01,,89.13e-3,107e-3,22.04e-3,20.61
299,nom,149,0,,,,13.49,1.495,38.06,,89.78e-3,107.7e-3,22.34e-3,20.74
301,nom,150,0,,,,13.55,1.505,38.1,,90.44e-3,108.5e-3,22.64e-3,20.86
303,nom,151,0,,,,13.61,1.515,38.14,,91.09e-3,109.3e-3,22.94e-3,20.99
305,nom,152,0,,,,13.66,1.524,38.18,,91.74e-3,110.1e-3,23.24e-3,21.11
307,nom,153,0,,,,13.72,1.534,38.23,,92.4e-3,110.9e-3,23.55e-3,21.24
309,nom,154,0,,,,13.78,1.544,38.27,,93.07e-3,111.7e-3,23.85e-3,21.36
311,nom,155,0,,,,13.83,1.554,38.3,,93.73e-3,112.5e-3,24.16e-3,21.48
313,nom,156,0,,,,13.89,1.564,38.33,,94.39e-3,113.3e-3,24.47e-3,21.6
315,nom,157,0,,,,13.94,1.574,38.38,,95.06e-3,114.1e-3,24.78e-3,21.73
317,nom,158,0,,,,14,1.584,38.42,,95.73e-3,114.9e-3,25.1e-3,21.85
319,nom,159,0,,,,14.05,1.594,38.47,,96.4e-3,115.7e-3,25.41e-3,21.97
321,nom,160,0,,,,14.1,1.604,38.51,,97.06e-3,116.5e-3,25.73e-3,22.09
323,nom,161,0,,,,14.16,1.614,38.55,,97.74e-3,117.3e-3,26.05e-3,22.21
325,nom,162,0,,,,14.21,1.624,38.59,,98.42e-3,118.1e-3,26.37e-3,22.33
327,nom,163,0,,,,14.26,1.634,38.63,,99.09e-3,118.9e-3,26.69e-3,22.45
329,nom,164,0,,,,14.32,1.644,38.67,,99.77e-3,119.7e-3,27.02e-3,22.57
331,nom,165,0,,,,14.37,1.654,38.71,,100.4e-3,120.5e-3,27.35e-3,22.69
333,nom,166,0,,,,14.42,1.664,38.75,,101.1e-3,121.3e-3,27.67e-3,22.8
335,nom,167,0,,,,14.47,1.673,38.79,,101.8e-3,122.2e-3,28e-3,22.92
337,nom,168,0,,,,14.52,1.683,38.83,,102.5e-3,123e-3,28.34e-3,23.04
339,nom,169,0,,,,14.57,1.693,38.88,,103.2e-3,123.8e-3,28.67e-3,23.15
341,nom,170,0,,,,14.62,1.703,38.92,,103.9e-3,124.7e-3,29e-3,23.27
343,nom,171,0,,,,14.67,1.713,38.96,,104.6e-3,125.5e-3,29.34e-3,23.38
345,nom,172,0,,,,14.73,1.723,38.99,,105.3e-3,126.3e-3,29.68e-3,23.5
347,nom,173,0,,,,14.78,1.733,39.02,,106e-3,127.1e-3,30.03e-3,23.62
349,nom,174,0,,,,14.82,1.743,39.06,,106.6e-3,128e-3,30.37e-3,23.73
351,nom,175,0,,,,14.87,1.753,39.1,,107.3e-3,128.8e-3,30.72e-3,23.84
353,nom,176,0,,,,14.92,1.763,39.14,,108.1e-3,129.7e-3,31.06e-3,23.96
355,nom,177,0,,,,14.97,1.772,39.17,,108.8e-3,130.5e-3,31.41e-3,24.07
357,nom,178,0,,,,15.02,1.782,39.21,,109.5e-3,131.4e-3,31.76e-3,24.18
359,nom,179,0,,,,15.07,1.792,39.26,,110.2e-3,132.2e-3,32.12e-3,24.29
361,nom,180,0,,,,15.12,1.802,39.3,,110.9e-3,133.1e-3,32.47e-3,24.4
363,nom,181,0,,,,15.16,1.812,39.35,,111.6e-3,133.9e-3,32.83e-3,24.51
365,nom,182,0,,,,15.21,1.822,39.39,,112.3e-3,134.8e-3,33.19e-3,24.63
367,nom,183,0,,,,15.26,1.832,39.42,,113e-3,135.6e-3,33.55e-3,24.74
369,nom,184,0,,,,15.3,1.841,39.45,,113.7e-3,136.5e-3,33.91e-3,24.84
371,nom,185,0,,,,15.35,1.851,39.49,,114.4e-3,137.3e-3,34.27e-3,24.96
373,nom,186,0,,,,15.4,1.861,39.52,,115.2e-3,138.2e-3,34.64e-3,25.06
375,nom,187,0,,,,15.44,1.871,39.56,,115.9e-3,139.1e-3,35.01e-3,25.17
377,nom,188,0,,,,15.49,1.881,39.59,,116.6e-3,139.9e-3,35.38e-3,25.28
379,nom,189,0,,,,15.53,1.891,39.63,,117.3e-3,140.8e-3,35.75e-3,25.39
381,nom,190,0,,,,15.58,1.9,39.66,,118.1e-3,141.7e-3,36.12e-3,25.49
383,nom,191,0,,,,15.62,1.91,39.7,,118.8e-3,142.6e-3,36.49e-3,25.6
385,nom,192,0,,,,15.67,1.92,39.74,,119.5e-3,143.4e-3,36.87e-3,25.7
387,nom,193,0,,,,15.71,1.93,39.77,,120.3e-3,144.3e-3,37.25e-3,25.81
389,nom,194,0,,,,15.76,1.94,39.81,,121e-3,145.2e-3,37.63e-3,25.91
391,nom,195,0,,,,15.8,1.95,39.85,,121.7e-3,146.1e-3,38.01e-3,26.02
393,nom,196,0,,,,15.84,1.959,39.89,,122.5e-3,147e-3,38.39e-3,26.12
395,nom,197,0,,,,15.89,1.969,39.93,,123.2e-3,147.9e-3,38.78e-3,26.23
