Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
207,nom,160,192,1,0,,,,17.77,2.447,168.5,,206.4e-3,247.7e-3,59.88e-3,24.17
208,nom,160,192,1,1,,,,17.51,2.374,-90.52,,204.9e-3,245.9e-3,56.34e-3,22.91
241,nom,192,192,0,0,,,,18.32,2.605,84.48,,229.5e-3,275.5e-3,67.86e-3,24.63
242,nom,192,192,0,1,,,,18.34,2.612,-5.47,,228.5e-3,274.2e-3,68.25e-3,24.89
243,nom,192,192,1,0,,,,18.33,2.609,174.2,,227.9e-3,273.5e-3,68.07e-3,24.89
244,nom,192,192,1,1,,,,18.29,2.596,-95.49,,227.2e-3,272.6e-3,67.4e-3,24.72
277,nom,224,192,0,0,,,,19.09,2.849,80.43,,254.3e-3,305.1e-3,81.15e-3,26.6
278,nom,224,192,0,1,,,,18.91,2.789,-346.6e-3,,252.7e-3,303.3e-3,77.8e-3,25.65
279,nom,224,192,1,0,,,,18.89,2.783,179.3,,251.5e-3,301.8e-3,77.45e-3,25.66
280,nom,224,192,1,1,,,,19.06,2.837,-99.53,,251.4e-3,301.6e-3,80.49e-3,26.68
313,nom,255,192,0,0,,,,19.81,3.094,77.24,,280.1e-3,336.1e-3,95.72e-3,28.48
314,nom,255,192,0,1,,,,19.45,2.97,4.036,,278.6e-3,334.4e-3,88.19e-3,26.38
315,nom,255,192,1,0,,,,19.43,2.96,-176.3,,276.7e-3,332.1e-3,87.62e-3,26.39
316,nom,255,192,1,1,,,,19.78,3.082,-102.7,,276.6e-3,332e-3,94.97e-3,28.61
29,nom,0,224,0,0,,,,16.98,2.234,131.2,,143.6e-3,172.3e-3,49.93e-3,28.97
30,nom,0,224,0,1,,,,16.93,2.22,-48.98,,141.5e-3,169.9e-3,49.28e-3,29.01
31,nom,0,224,1,0,,,,16.98,2.234,131.2,,143.6e-3,172.4e-3,49.92e-3,28.96
32,nom,0,224,1,1,,,,16.93,2.22,-48.98,,141.5e-3,169.9e-3,49.28e-3,29.01
65,nom,32,224,0,0,,,,16.82,2.194,123.4,,158.3e-3,190e-3,48.12e-3,25.33
66,nom,32,224,0,1,,,,17.16,2.281,-41.34,,157.7e-3,189.2e-3,52.01e-3,27.49
67,nom,32,224,1,0,,,,17.21,2.294,138.7,,159.6e-3,191.5e-3,52.63e-3,27.48
68,nom,32,224,1,1,,,,16.78,2.181,-56.8,,156.4e-3,187.7e-3,47.59e-3,25.35
101,nom,64,224,0,0,,,,16.89,2.212,115.4,,174.1e-3,209e-3,48.92e-3,23.41
102,nom,64,224,0,1,,,,17.46,2.361,-34.07,,174.2e-3,209.1e-3,55.76e-3,26.67
103,nom,64,224,1,0,,,,17.51,2.373,145.9,,176.1e-3,211.3e-3,56.32e-3,26.65
104,nom,64,224,1,1,,,,16.86,2.202,-64.77,,172.3e-3,206.8e-3,48.49e-3,23.45
137,nom,96,224,0,0,,,,17.19,2.287,107.7,,191.3e-3,229.6e-3,52.32e-3,22.79
138,nom,96,224,0,1,,,,17.82,2.461,-27.2,,191.6e-3,230e-3,60.55e-3,26.33
139,nom,96,224,1,0,,,,17.85,2.47,152.7,,193.2e-3,231.8e-3,61.01e-3,26.32
140,nom,96,224,1,1,,,,17.15,2.278,-72.41,,189.4e-3,227.3e-3,51.91e-3,22.84
173,nom,128,224,0,0,,,,17.65,2.413,100.8,,210.2e-3,252.2e-3,58.23e-3,23.09
174,nom,128,224,0,1,,,,18.22,2.577,-20.77,,210.3e-3,252.3e-3,66.4e-3,26.31
175,nom,128,224,1,0,,,,18.25,2.584,159,,211.4e-3,253.7e-3,66.79e-3,26.33
176,nom,128,224,1,1,,,,17.62,2.405,-79.31,,208.1e-3,249.8e-3,57.85e-3,23.16
209,nom,160,224,0,0,,,,18.23,2.58,94.75,,230.9e-3,277.1e-3,66.59e-3,24.03
210,nom,160,224,0,1,,,,18.65,2.708,-14.86,,230.5e-3,276.6e-3,73.31e-3,26.5
211,nom,160,224,1,0,,,,18.67,2.713,164.9,,231.1e-3,277.3e-3,73.58e-3,26.53
212,nom,160,224,1,1,,,,18.21,2.572,-85.31,,228.7e-3,274.4e-3,66.16e-3,24.11
245,nom,192,224,0,0,,,,18.88,2.78,89.67,,253.7e-3,304.4e-3,77.28e-3,25.39
246,nom,192,224,0,1,,,,19.11,2.853,-9.44,,252.7e-3,303.3e-3,81.4e-3,26.84
247,nom,192,224,1,0,,,,19.11,2.855,170.3,,252.6e-3,303.2e-3,81.51e-3,26.89
248,nom,192,224,1,1,,,,18.85,2.771,-90.35,,251e-3,301.2e-3,76.76e-3,25.48
281,nom,224,224,0,0,,,,19.54,3.001,85.37,,278.3e-3,334e-3,90.04e-3,26.96
282,nom,224,224,0,1,,,,19.57,3.009,-4.517,,277e-3,332.5e-3,90.54e-3,27.23
283,nom,224,224,1,0,,,,19.57,3.008,175.2,,276.2e-3,331.4e-3,90.51e-3,27.31
284,nom,224,224,1,1,,,,19.51,2.989,-94.6,,275.3e-3,330.3e-3,89.33e-3,27.04
317,nom,255,224,0,0,,,,20.18,3.227,81.94,,304.2e-3,365e-3,104.1e-3,28.52
318,nom,255,224,0,1,,,,20.01,3.167,-228.2e-3,,303e-3,363.6e-3,100.3e-3,27.59
319,nom,255,224,1,0,,,,20,3.162,179.4,,301.6e-3,361.9e-3,99.96e-3,27.62
320,nom,255,224,1,1,,,,20.14,3.214,-97.98,,300.7e-3,360.8e-3,103.3e-3,28.63
33,nom,0,255,0,0,,,,18.07,2.532,132.2,,169.3e-3,203.2e-3,64.09e-3,31.54
34,nom,0,255,0,1,,,,18.01,2.514,-47.98,,166.8e-3,200.1e-3,63.21e-3,31.58
35,nom,0,255,1,0,,,,18.07,2.532,132.2,,169.3e-3,203.2e-3,64.09e-3,31.54
36,nom,0,255,1,1,,,,18.01,2.515,-48,,166.8e-3,200.2e-3,63.23e-3,31.59
69,nom,32,255,0,0,,,,17.89,2.48,125.4,,184e-3,220.8e-3,61.51e-3,27.86
70,nom,32,255,0,1,,,,18.23,2.578,-41.3,,183e-3,219.6e-3,66.48e-3,30.27
71,nom,32,255,1,0,,,,18.28,2.594,138.8,,185.5e-3,222.6e-3,67.28e-3,30.23
72,nom,32,255,1,1,,,,17.84,2.466,-54.81,,181.5e-3,217.8e-3,60.8e-3,27.91
105,nom,64,255,0,0,,,,17.9,2.482,118.3,,199.6e-3,239.6e-3,61.62e-3,25.72
106,nom,64,255,0,1,,,,18.49,2.656,-34.91,,199.5e-3,239.4e-3,70.57e-3,29.47
107,nom,64,255,1,0,,,,18.53,2.671,145.1,,201.9e-3,242.2e-3,71.34e-3,29.45
108,nom,64,255,1,1,,,,17.85,2.47,-61.83,,197.4e-3,236.9e-3,60.99e-3,25.74
141,nom,96,255,0,0,,,,18.09,2.537,111.4,,216.8e-3,260.2e-3,64.35e-3,24.73
142,nom,96,255,0,1,,,,18.78,2.748,-28.8,,216.9e-3,260.3e-3,75.53e-3,29.02
143,nom,96,255,1,0,,,,18.82,2.76,151.1,,218.9e-3,262.7e-3,76.18e-3,29
