Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
481,nom,240,0,,,,17.13,2.272,57.11,,200.8e-3,241e-3,51.61e-3,21.42
483,nom,241,0,,,,17.16,2.281,57.15,,202e-3,242.4e-3,52.02e-3,21.46
485,nom,242,0,,,,17.2,2.29,57.19,,203.2e-3,243.9e-3,52.43e-3,21.5
487,nom,243,0,,,,17.23,2.299,57.21,,204.3e-3,245.2e-3,52.84e-3,21.55
489,nom,244,0,,,,17.26,2.307,57.24,,205.6e-3,246.7e-3,53.24e-3,21.58
491,nom,245,0,,,,17.3,2.316,57.29,,206.8e-3,248.2e-3,53.65e-3,21.62
493,nom,246,0,,,,17.33,2.325,57.31,,208e-3,249.6e-3,54.07e-3,21.67
495,nom,247,0,,,,17.36,2.334,57.32,,209.1e-3,250.9e-3,54.49e-3,21.72
497,nom,248,0,,,,17.4,2.343,57.35,,210.3e-3,252.4e-3,54.9e-3,21.76
499,nom,249,0,,,,17.43,2.352,57.37,,211.5e-3,253.8e-3,55.32e-3,21.8
501,nom,250,0,,,,17.46,2.361,57.41,,212.8e-3,255.3e-3,55.74e-3,21.83
503,nom,251,0,,,,17.49,2.37,57.44,,214e-3,256.8e-3,56.16e-3,21.87
505,nom,252,0,,,,17.53,2.379,57.48,,215.2e-3,258.2e-3,56.58e-3,21.91
507,nom,253,0,,,,17.56,2.387,57.51,,216.4e-3,259.7e-3,56.99e-3,21.95
509,nom,254,0,,,,17.59,2.396,57.53,,217.6e-3,261.1e-3,57.42e-3,21.99
511,nom,255,0,,,,17.62,2.405,57.58,,218.9e-3,262.6e-3,57.84e-3,22.02
2,nom,0,255,,,,17.62,2.405,147.7,,218.3e-3,261.9e-3,57.86e-3,22.09
4,nom,1,255,,,,17.62,2.403,147.5,,218.8e-3,262.5e-3,57.76e-3,22
6,nom,2,255,,,,17.61,2.401,147.3,,219.2e-3,263.1e-3,57.66e-3,21.92
8,nom,3,255,,,,17.6,2.399,147.1,,219.7e-3,263.7e-3,57.57e-3,21.83
10,nom,4,255,,,,17.59,2.397,146.9,,220.2e-3,264.2e-3,57.48e-3,21.75
12,nom,5,255,,,,17.59,2.396,146.7,,220.7e-3,264.8e-3,57.39e-3,21.67
14,nom,6,255,,,,17.58,2.394,146.4,,221.2e-3,265.4e-3,57.3e-3,21.59
