Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
312,nom,255,160,1,1,,,,19.24,2.896,-92.54,,326.5e-3,391.8e-3,83.88e-3,21.41
25,nom,0,192,0,0,,,,15.27,1.835,145.6,,147.5e-3,177e-3,33.69e-3,19.03
26,nom,0,192,0,1,,,,15.21,1.821,-34.37,,146.5e-3,175.9e-3,33.16e-3,18.86
27,nom,0,192,1,0,,,,15.27,1.835,145.6,,147.5e-3,177e-3,33.69e-3,19.03
28,nom,0,192,1,1,,,,15.21,1.821,-34.36,,146.6e-3,175.9e-3,33.16e-3,18.85
61,nom,32,192,0,0,,,,15.18,1.816,136.1,,163.9e-3,196.7e-3,32.98e-3,16.77
62,nom,32,192,0,1,,,,15.54,1.893,-25.29,,163.4e-3,196.1e-3,35.82e-3,18.27
63,nom,32,192,1,0,,,,15.6,1.905,154.6,,164.3e-3,197.2e-3,36.31e-3,18.42
64,nom,32,192,1,1,,,,15.11,1.802,-43.91,,162.9e-3,195.4e-3,32.47e-3,16.61
97,nom,64,192,0,0,,,,15.4,1.863,126.6,,182.8e-3,219.4e-3,34.7e-3,15.82
98,nom,64,192,0,1,,,,15.97,1.988,-16.86,,182.4e-3,218.9e-3,39.54e-3,18.06
99,nom,64,192,1,0,,,,16.02,1.999,162.9,,183.2e-3,219.8e-3,39.96e-3,18.18
100,nom,64,192,1,1,,,,15.34,1.849,-53.41,,181.5e-3,217.9e-3,34.18e-3,15.69
133,nom,96,192,0,0,,,,15.9,1.972,117.9,,204.5e-3,245.4e-3,38.88e-3,15.84
134,nom,96,192,0,1,,,,16.47,2.105,-9.158,,204e-3,244.8e-3,44.32e-3,18.1
135,nom,96,192,1,0,,,,16.5,2.114,170.5,,204.5e-3,245.5e-3,44.67e-3,18.2
136,nom,96,192,1,1,,,,15.83,1.956,-62.11,,203e-3,243.6e-3,38.28e-3,15.72
169,nom,128,192,0,0,,,,16.57,2.131,110.5,,229.3e-3,275.1e-3,45.42e-3,16.51
170,nom,128,192,0,1,,,,17,2.239,-2.22,,228.6e-3,274.3e-3,50.15e-3,18.28
171,nom,128,192,1,0,,,,17.02,2.245,177.4,,228.8e-3,274.6e-3,50.4e-3,18.35
172,nom,128,192,1,1,,,,16.51,2.115,-69.56,,227.5e-3,273e-3,44.74e-3,16.39
205,nom,160,192,0,0,,,,17.35,2.331,104.3,,257.4e-3,308.9e-3,54.32e-3,17.58
206,nom,160,192,0,1,,,,17.56,2.387,3.992,,256.5e-3,307.8e-3,56.98e-3,18.51
207,nom,160,192,1,0,,,,17.57,2.391,-176.5,,256.2e-3,307.5e-3,57.17e-3,18.59
208,nom,160,192,1,1,,,,17.28,2.313,-75.7,,255.2e-3,306.2e-3,53.49e-3,17.47
241,nom,192,192,0,0,,,,18.15,2.556,99.37,,288.9e-3,346.7e-3,65.34e-3,18.85
242,nom,192,192,0,1,,,,18.11,2.545,9.48,,287.6e-3,345.1e-3,64.79e-3,18.77
243,nom,192,192,1,0,,,,18.12,2.547,-171,,286.9e-3,344.2e-3,64.87e-3,18.85
244,nom,192,192,1,1,,,,18.09,2.538,-80.67,,286.3e-3,343.5e-3,64.4e-3,18.75
277,nom,224,192,0,0,,,,18.94,2.799,95.37,,323.9e-3,388.7e-3,78.33e-3,20.15
278,nom,224,192,0,1,,,,18.66,2.71,14.34,,322.2e-3,386.6e-3,73.43e-3,18.99
279,nom,224,192,1,0,,,,18.66,2.709,-166.1,,320.9e-3,385.1e-3,73.4e-3,19.06
280,nom,224,192,1,1,,,,18.87,2.778,-84.64,,320.7e-3,384.8e-3,77.16e-3,20.05
313,nom,255,192,0,0,,,,19.67,3.043,92.25,,361.2e-3,433.4e-3,92.6e-3,21.37
314,nom,255,192,0,1,,,,19.17,2.873,18.46,,358.7e-3,430.4e-3,82.54e-3,19.18
315,nom,255,192,1,0,,,,19.14,2.864,-162,,357.2e-3,428.6e-3,82.05e-3,19.14
316,nom,255,192,1,1,,,,19.6,3.021,-87.76,,357.4e-3,428.9e-3,91.25e-3,21.28
29,nom,0,224,0,0,,,,16.56,2.129,146.7,,181.8e-3,218.1e-3,45.31e-3,20.77
30,nom,0,224,0,1,,,,16.49,2.112,-33.23,,180.5e-3,216.6e-3,44.59e-3,20.58
31,nom,0,224,1,0,,,,16.56,2.129,146.7,,181.8e-3,218.1e-3,45.31e-3,20.77
32,nom,0,224,1,1,,,,16.49,2.112,-33.25,,180.5e-3,216.6e-3,44.59e-3,20.58
65,nom,32,224,0,0,,,,16.43,2.097,138.6,,198.2e-3,237.8e-3,43.99e-3,18.5
66,nom,32,224,0,1,,,,16.8,2.188,-25.5,,197.4e-3,236.9e-3,47.89e-3,20.21
67,nom,32,224,1,0,,,,16.86,2.204,154.4,,198.6e-3,238.4e-3,48.57e-3,20.38
68,nom,32,224,1,1,,,,16.37,2.081,-41.42,,196.8e-3,236.1e-3,43.31e-3,18.34
101,nom,64,224,0,0,,,,16.55,2.125,130.3,,217e-3,260.4e-3,45.17e-3,17.34
102,nom,64,224,0,1,,,,17.17,2.282,-18.26,,216.5e-3,259.8e-3,52.09e-3,20.05
103,nom,64,224,1,0,,,,17.22,2.296,161.5,,217.6e-3,261.1e-3,52.72e-3,20.19
104,nom,64,224,1,1,,,,16.48,2.108,-49.71,,215.4e-3,258.5e-3,44.45e-3,17.2
137,nom,96,224,0,0,,,,16.89,2.21,122.4,,238.7e-3,286.4e-3,48.83e-3,17.05
138,nom,96,224,0,1,,,,17.57,2.391,-11.47,,238.2e-3,285.9e-3,57.19e-3,20.01
139,nom,96,224,1,0,,,,17.61,2.402,168.2,,239e-3,286.8e-3,57.71e-3,20.12
140,nom,96,224,1,1,,,,16.82,2.192,-57.58,,236.8e-3,284.2e-3,48.05e-3,16.91
173,nom,128,224,0,0,,,,17.4,2.344,115.4,,263.6e-3,316.3e-3,54.93e-3,17.37
174,nom,128,224,0,1,,,,18,2.513,-5.275,,262.8e-3,315.4e-3,63.15e-3,20.02
175,nom,128,224,1,0,,,,18.03,2.522,174.3,,263.4e-3,316.1e-3,63.58e-3,20.11
176,nom,128,224,1,1,,,,17.33,2.325,-64.63,,261.4e-3,313.6e-3,54.06e-3,17.24
209,nom,160,224,0,0,,,,18.02,2.518,109.3,,291.8e-3,350.1e-3,63.41e-3,18.11
210,nom,160,224,0,1,,,,18.45,2.645,403.5e-3,,290.8e-3,349e-3,69.97e-3,20.05
211,nom,160,224,1,0,,,,18.47,2.652,180,,290.8e-3,349e-3,70.31e-3,20.15
212,nom,160,224,1,1,,,,17.95,2.499,-70.69,,289.2e-3,347e-3,62.44e-3,17.99
245,nom,192,224,0,0,,,,18.69,2.721,104.2,,323.4e-3,388.1e-3,74.02e-3,19.07
246,nom,192,224,0,1,,,,18.9,2.786,5.509,,322.1e-3,386.5e-3,77.6e-3,20.08
247,nom,192,224,1,0,,,,18.91,2.79,-174.9,,321.6e-3,386e-3,77.85e-3,20.17
248,nom,192,224,1,1,,,,18.63,2.7,-75.81,,320.3e-3,384.4e-3,72.9e-3,18.97
281,nom,224,224,0,0,,,,19.38,2.944,100,,358.5e-3,430.2e-3,86.64e-3,20.14
282,nom,224,224,0,1,,,,19.34,2.931,10.11,,356.7e-3,428e-3,85.91e-3,20.07
283,nom,224,224,1,0,,,,19.34,2.932,-170.3,,355.7e-3,426.9e-3,85.98e-3,20.14
284,nom,224,224,1,1,,,,19.31,2.922,-80,,354.8e-3,425.8e-3,85.35e-3,20.05
317,nom,255,224,0,0,,,,20.02,3.171,96.59,,395.9e-3,475e-3,100.6e-3,21.17
318,nom,255,224,0,1,,,,19.75,3.074,14.1,,393.3e-3,472e-3,94.5e-3,20.02
319,nom,255,224,1,0,,,,19.74,3.07,-166.4,,392.2e-3,470.6e-3,94.25e-3,20.03
320,nom,255,224,1,1,,,,19.96,3.148,-83.4,,391.7e-3,470e-3,99.07e-3,21.08
33,nom,0,255,0,0,,,,17.62,2.405,147.7,,218.3e-3,261.9e-3,57.86e-3,22.09
34,nom,0,255,0,1,,,,17.55,2.386,-32.25,,216.7e-3,260e-3,56.91e-3,21.89
35,nom,0,255,1,0,,,,17.62,2.405,147.7,,218.4e-3,262e-3,57.86e-3,22.08
36,nom,0,255,1,1,,,,17.55,2.386,-32.24,,216.7e-3,260e-3,56.92e-3,21.89
69,nom,32,255,0,0,,,,17.47,2.364,140.6,,234.6e-3,281.5e-3,55.89e-3,19.85
70,nom,32,255,0,1,,,,17.85,2.469,-25.46,,233.7e-3,280.4e-3,60.94e-3,21.73
71,nom,32,255,1,0,,,,17.91,2.487,154.4,,235.2e-3,282.3e-3,61.84e-3,21.91
72,nom,32,255,1,1,,,,17.4,2.345,-39.41,,232.9e-3,279.5e-3,54.97e-3,19.67
105,nom,64,255,0,0,,,,17.52,2.376,133.2,,253.5e-3,304.2e-3,56.43e-3,18.55
106,nom,64,255,0,1,,,,18.18,2.563,-19.07,,252.8e-3,303.4e-3,65.7e-3,21.66
107,nom,64,255,1,0,,,,18.23,2.579,160.7,,254.3e-3,305.1e-3,66.52e-3,21.8
108,nom,64,255,1,1,,,,17.44,2.356,-46.8,,251.5e-3,301.9e-3,55.5e-3,18.39
141,nom,96,255,0,0,,,,17.75,2.439,126,,275.2e-3,330.2e-3,59.5e-3,18.02
142,nom,96,255,0,1,,,,18.52,2.668,-13.06,,274.6e-3,329.5e-3,71.16e-3,21.6
143,nom,96,255,1,0,,,,18.57,2.682,166.6,,275.9e-3,331.1e-3,71.95e-3,21.73
144,nom,96,255,1,1,,,,17.67,2.419,-53.97,,273e-3,327.6e-3,58.51e-3,17.86
177,nom,128,255,0,0,,,,18.13,2.55,119.4,,300.1e-3,360.1e-3,65.02e-3,18.06
178,nom,128,255,0,1,,,,18.88,2.781,-7.467,,299.4e-3,359.3e-3,77.35e-3,21.53
179,nom,128,255,1,0,,,,18.92,2.793,172.2,,300.3e-3,360.3e-3,78.02e-3,21.65
180,nom,128,255,1,1,,,,18.06,2.529,-60.61,,297.5e-3,357e-3,63.95e-3,17.91
213,nom,160,255,0,0,,,,18.63,2.701,113.5,,328.2e-3,393.9e-3,72.96e-3,18.52
214,nom,160,255,0,1,,,,19.25,2.902,-2.291,,327.5e-3,393e-3,84.22e-3,21.43
215,nom,160,255,1,0,,,,19.28,2.911,177.3,,327.9e-3,393.5e-3,84.76e-3,21.54
216,nom,160,255,1,1,,,,18.56,2.679,-66.53,,325.3e-3,390.4e-3,71.77e-3,18.38
249,nom,192,255,0,0,,,,19.19,2.882,108.4,,360e-3,432e-3,83.03e-3,19.22
250,nom,192,255,0,1,,,,19.62,3.029,2.438,,358.9e-3,430.7e-3,91.72e-3,21.3
251,nom,192,255,1,0,,,,19.64,3.035,-178,,358.7e-3,430.5e-3,92.12e-3,21.4
252,nom,192,255,1,1,,,,19.12,2.858,-71.63,,356.5e-3,427.8e-3,81.69e-3,19.1
285,nom,224,255,0,0,,,,19.79,3.086,104,,395.1e-3,474.1e-3,95.21e-3,20.08
286,nom,224,255,0,1,,,,19.99,3.158,6.752,,393.6e-3,472.3e-3,99.71e-3,21.11
287,nom,224,255,1,0,,,,20,3.163,-173.7,,393e-3,471.6e-3,100e-3,21.21
288,nom,224,255,1,1,,,,19.71,3.059,-75.99,,391.3e-3,469.5e-3,93.6e-3,19.94
321,nom,255,255,0,0,,,,20.36,3.295,100.4,,432.7e-3,519.2e-3,108.6e-3,20.92
322,nom,255,255,0,1,,,,20.33,3.284,10.52,,430.4e-3,516.4e-3,107.9e-3,20.89
323,nom,255,255,1,0,,,,20.32,3.283,-169.9,,429.5e-3,515.4e-3,107.8e-3,20.91
324,nom,255,255,1,1,,,,20.29,3.268,-79.6,,428.2e-3,513.8e-3,106.8e-3,20.79

