Point,Corner,Icode,Qcode,selI,selQ,Pass/Fail,/Qbit<1>,/Qbit<2>,/Qbit<3>,/Qbit<4>,/QCLK,/ICLK,Vout,QVout,IVout,Vout FFT,Vout magnitude,Vout phase,H1 magnitude,H1 phase,H1 Pout
48,nom,3,1,1,1,,,,,,,,,,,,,,292.2e-3,76.82,-6.706
65,nom,7,1,0,0,,,,,,,,,,,,,,412.2e-3,-90.45,-3.718
66,nom,7,1,0,1,,,,,,,,,,,,,,449.4e-3,-56.45,-2.968
67,nom,7,1,1,0,,,,,,,,,,,,,,449.4e-3,123.5,-2.968
68,nom,7,1,1,1,,,,,,,,,,,,,,412.1e-3,89.55,-3.72
85,nom,15,1,0,0,,,,,,,,,,,,,,540.5e-3,-84.56,-1.364
86,nom,15,1,0,1,,,,,,,,,,,,,,585e-3,-58.87,-676.8e-3
87,nom,15,1,1,0,,,,,,,,,,,,,,585.1e-3,121.1,-675.7e-3
88,nom,15,1,1,1,,,,,,,,,,,,,,540.5e-3,95.44,-1.364
1,nom,0,0,0,0,,,,,,,,,,,,,,15.15e-6,83.74,-92.41
2,nom,0,0,0,1,,,,,,,,,,,,,,15.15e-6,173.7,-92.41
3,nom,0,0,1,0,,,,,,,,,,,,,,15.14e-6,-6.285,-92.42
4,nom,0,0,1,1,,,,,,,,,,,,,,15.14e-6,-96.33,-92.42
21,nom,1,0,0,0,,,,,,,,,,,,,,138.5e-3,-81.48,-13.19
22,nom,1,0,0,1,,,,,,,,,,,,,,138.6e-3,-81.48,-13.19
23,nom,1,0,1,0,,,,,,,,,,,,,,138.6e-3,98.52,-13.19
24,nom,1,0,1,1,,,,,,,,,,,,,,138.6e-3,98.52,-13.19
41,nom,3,0,0,0,,,,,,,,,,,,,,279.4e-3,-77.11,-7.097
42,nom,3,0,0,1,,,,,,,,,,,,,,279.4e-3,-77.11,-7.096
43,nom,3,0,1,0,,,,,,,,,,,,,,279.4e-3,102.9,-7.097
44,nom,3,0,1,1,,,,,,,,,,,,,,279.4e-3,102.9,-7.097
61,nom,7,0,0,0,,,,,,,,,,,,,,421.1e-3,-72.92,-3.534
62,nom,7,0,0,1,,,,,,,,,,,,,,420.9e-3,-72.94,-3.538
63,nom,7,0,1,0,,,,,,,,,,,,,,420.9e-3,107.1,-3.537
64,nom,7,0,1,1,,,,,,,,,,,,,,421.1e-3,107.1,-3.534
81,nom,15,0,0,0,,,,,,,,,,,,,,559.5e-3,-71.45,-1.065
82,nom,15,0,0,1,,,,,,,,,,,,,,559.4e-3,-71.46,-1.066
83,nom,15,0,1,0,,,,,,,,,,,,,,559.4e-3,108.5,-1.066
84,nom,15,0,1,1,,,,,,,,,,,,,,559.4e-3,108.5,-1.066

